Date,State,Region,Energy_Requirement_MU,Energy_Supplied_MU,Energy_Deficit_MU,Energy_Deficit_Percent,Peak_Demand_MW,Peak_Met_MW,Peak_Deficit_MW,Outage_Frequency,Average_Recovery_Time_Hours
2020-05-01,Uttar Pradesh,Northern,12252.81,11254.08,998.74,8.151,25526.7,22933.5,2593.2,52,6.72
2020-06-01,Uttar Pradesh,Northern,12363.82,11146.5,1217.32,9.846,25757.97,22520.93,3237.04,60,6.86
2020-07-01,Uttar Pradesh,Northern,13884.99,12613.59,1271.39,9.157,28927.06,25604.56,3322.5,54,7.73
2020-08-01,Uttar Pradesh,Northern,9304.56,8955.65,348.91,3.75,19384.5,18476.39,908.11,36,5.28
2020-09-01,Uttar Pradesh,Northern,9640.34,9350.8,289.55,3.003,20084.05,19305.64,778.41,34,5.95
2020-10-01,Uttar Pradesh,Northern,11485.35,11170.44,314.9,2.742,23927.81,23074.64,853.17,32,5.78
2020-11-01,Uttar Pradesh,Northern,11617.48,11250.46,367.01,3.159,24203.08,23228.55,974.53,31,6.25
2020-12-01,Uttar Pradesh,Northern,11753.99,11345.19,408.8,3.478,24487.49,23427.18,1060.31,36,5.28
2021-01-01,Uttar Pradesh,Northern,9647.0,9325.88,321.11,3.329,20097.91,19178.04,919.87,33,5.59
2021-02-01,Uttar Pradesh,Northern,10680.17,10394.58,285.59,2.674,22250.35,21371.72,878.63,32,5.8
2021-03-01,Uttar Pradesh,Northern,10051.69,9696.02,355.67,3.538,20941.01,19951.63,989.38,34,6.77
2021-04-01,Uttar Pradesh,Northern,13673.83,12954.69,719.14,5.259,28487.15,26687.21,1799.94,47,6.86
2021-05-01,Uttar Pradesh,Northern,13440.01,12631.57,808.44,6.015,28000.02,25750.31,2249.71,46,5.8
2021-06-01,Uttar Pradesh,Northern,14444.35,13500.14,944.21,6.537,30092.39,27724.14,2368.24,49,7.71
2021-07-01,Uttar Pradesh,Northern,14048.54,13346.46,702.08,4.998,29267.79,27183.51,2084.28,44,8.43
2021-08-01,Uttar Pradesh,Northern,9429.76,9081.0,348.77,3.699,19645.34,18677.35,967.99,33,4.17
2021-09-01,Uttar Pradesh,Northern,9509.19,9238.16,271.03,2.85,19810.82,19063.99,746.82,29,5.74
2021-10-01,Uttar Pradesh,Northern,11913.57,11682.26,231.31,1.942,24819.94,24144.53,675.41,27,5.14
2021-11-01,Uttar Pradesh,Northern,11457.38,11085.75,371.63,3.244,23869.54,22885.15,984.4,31,5.86
2021-12-01,Uttar Pradesh,Northern,12274.32,11981.35,292.98,2.387,25571.5,24785.38,786.12,29,5.81
2022-01-01,Uttar Pradesh,Northern,10153.47,9954.43,199.04,1.96,21153.06,20544.42,608.64,30,4.72
2022-02-01,Uttar Pradesh,Northern,10834.58,10650.86,183.72,1.696,22572.04,22078.94,493.1,30,6.35
2022-03-01,Uttar Pradesh,Northern,10992.53,10747.63,244.9,2.228,22901.1,22247.73,653.37,31,4.86
2022-04-01,Uttar Pradesh,Northern,14023.52,13518.19,505.33,3.603,29215.68,27777.32,1438.36,42,7.43
2022-05-01,Uttar Pradesh,Northern,14042.96,13140.11,902.85,6.429,29256.16,26900.09,2356.08,50,7.41
2022-06-01,Uttar Pradesh,Northern,13548.67,12790.48,758.19,5.596,28226.39,26194.12,2032.27,47,6.45
2022-07-01,Uttar Pradesh,Northern,14449.71,13552.62,897.09,6.208,30103.55,27740.32,2363.23,46,7.45
2022-08-01,Uttar Pradesh,Northern,9799.68,9611.05,188.63,1.925,20416.0,19853.54,562.46,28,5.99
2022-09-01,Uttar Pradesh,Northern,11189.68,10928.0,261.69,2.339,23311.84,22617.32,694.51,33,4.84
2022-10-01,Uttar Pradesh,Northern,12468.38,12074.42,393.95,3.16,25975.78,24828.69,1147.09,34,5.81
2022-11-01,Uttar Pradesh,Northern,12999.31,12727.74,271.57,2.089,27081.9,26306.58,775.32,28,4.96
2022-12-01,Uttar Pradesh,Northern,13045.78,12650.68,395.1,3.029,27178.7,25978.09,1200.62,33,5.84
2023-01-01,Uttar Pradesh,Northern,11133.0,10964.1,168.9,1.517,23193.74,22698.01,495.74,28,5.71
2023-02-01,Uttar Pradesh,Northern,11118.39,10881.15,237.23,2.134,23163.31,22478.91,684.4,28,5.64
2023-03-01,Uttar Pradesh,Northern,11665.5,11384.28,281.22,2.411,24303.13,23424.69,878.45,32,5.28
2023-04-01,Uttar Pradesh,Northern,15194.09,14416.73,777.36,5.116,31654.35,29538.66,2115.69,45,7.01
2023-05-01,Uttar Pradesh,Northern,13917.39,13257.99,659.4,4.738,28994.56,27256.12,1738.44,45,8.3
2023-06-01,Uttar Pradesh,Northern,14364.15,13471.52,892.63,6.214,29925.31,27407.72,2517.59,47,7.96
2023-07-01,Uttar Pradesh,Northern,14670.21,14067.97,602.24,4.105,30562.93,29035.57,1527.36,46,6.73
2023-08-01,Uttar Pradesh,Northern,11557.51,11345.84,211.67,1.831,24078.15,23470.53,607.62,29,4.74
2023-09-01,Uttar Pradesh,Northern,10891.86,10624.85,267.01,2.451,22691.38,22009.34,682.04,30,5.48
2023-10-01,Uttar Pradesh,Northern,12951.64,12743.04,208.61,1.611,26982.59,26350.1,632.5,30,5.61
2023-11-01,Uttar Pradesh,Northern,12956.26,12616.5,339.76,2.622,26992.21,25973.46,1018.74,38,5.31
2023-12-01,Uttar Pradesh,Northern,13157.8,12917.46,240.35,1.827,27412.09,26734.99,677.1,27,5.7
2024-01-01,Uttar Pradesh,Northern,11372.5,11156.83,215.66,1.896,23692.7,23118.53,574.17,30,5.62
2024-02-01,Uttar Pradesh,Northern,12480.52,12256.35,224.17,1.796,26001.08,25426.3,574.79,28,5.59
2024-03-01,Uttar Pradesh,Northern,11296.28,11082.91,213.37,1.889,23533.91,22954.37,579.54,28,5.68
2024-04-01,Uttar Pradesh,Northern,14799.4,14366.49,432.91,2.925,30832.08,29541.36,1290.72,41,6.13
2024-05-01,Uttar Pradesh,Northern,15789.79,15124.44,665.35,4.214,32895.4,31140.23,1755.17,43,7.04
2024-06-01,Uttar Pradesh,Northern,16472.87,15908.65,564.22,3.425,34318.47,32811.23,1507.24,43,7.98
2024-07-01,Uttar Pradesh,Northern,14688.7,13931.74,756.95,5.153,30601.45,28485.2,2116.26,50,7.25
2024-08-01,Uttar Pradesh,Northern,12118.07,11931.42,186.65,1.54,25245.97,24755.96,490.01,27,6.4
2024-09-01,Uttar Pradesh,Northern,11863.54,11698.78,164.76,1.389,24715.71,24256.93,458.78,25,5.41
2024-10-01,Uttar Pradesh,Northern,13542.01,13249.5,292.51,2.16,28212.51,27324.0,888.52,28,4.95
2024-11-01,Uttar Pradesh,Northern,13614.82,13330.24,284.57,2.09,28364.2,27627.42,736.78,31,5.6
2024-12-01,Uttar Pradesh,Northern,12907.11,12736.56,170.56,1.321,26889.82,26402.93,486.89,28,5.36
2015-01-01,Rajasthan,Northern,5699.3,5391.66,307.63,5.398,11873.53,10967.16,906.37,28,4.26
2015-02-01,Rajasthan,Northern,5704.4,5453.06,251.33,4.406,11884.16,11140.9,743.26,24,5.29
2015-03-01,Rajasthan,Northern,5124.47,4871.5,252.97,4.936,10675.98,9939.42,736.57,27,3.64
2015-04-01,Rajasthan,Northern,7579.92,6979.8,600.12,7.917,15791.5,14018.47,1773.03,43,5.4
2015-05-01,Rajasthan,Northern,7601.47,6710.81,890.66,11.717,15836.39,13338.84,2497.55,54,5.73
2015-06-01,Rajasthan,Northern,7317.95,6492.53,825.41,11.279,15245.72,12713.24,2532.49,49,5.12
2015-07-01,Rajasthan,Northern,7813.11,7049.7,763.41,9.771,16277.32,14250.84,2026.48,48,5.28
2015-08-01,Rajasthan,Northern,5547.29,5356.95,190.33,3.431,11556.85,10989.0,567.85,24,4.78
2015-09-01,Rajasthan,Northern,5153.32,4966.57,186.75,3.624,10736.08,10172.45,563.63,24,4.03
2015-10-01,Rajasthan,Northern,6095.69,5798.78,296.91,4.871,12699.36,11800.42,898.94,28,5.24
2015-11-01,Rajasthan,Northern,6255.29,5927.41,327.88,5.242,13031.85,12204.09,827.75,28,3.91
2015-12-01,Rajasthan,Northern,6192.32,5844.95,347.37,5.61,12900.67,11843.81,1056.86,30,4.43
2016-01-01,Rajasthan,Northern,5466.39,5322.32,144.07,2.636,11388.31,10967.49,420.82,22,4.1
2016-02-01,Rajasthan,Northern,5773.83,5530.5,243.33,4.214,12028.8,11344.88,683.93,26,4.38
2016-03-01,Rajasthan,Northern,6029.41,5828.62,200.79,3.33,12561.27,11976.6,584.67,22,4.7
2016-04-01,Rajasthan,Northern,7893.93,7232.51,661.42,8.379,16445.69,14625.07,1820.61,46,5.64
2016-05-01,Rajasthan,Northern,7971.92,7535.36,436.56,5.476,16608.17,15428.2,1179.98,37,4.68
2016-06-01,Rajasthan,Northern,7504.07,6994.34,509.73,6.793,15633.48,14146.28,1487.21,41,5.11
2016-07-01,Rajasthan,Northern,7473.1,6892.23,580.86,7.773,15568.95,13923.08,1645.88,44,5.84
2016-08-01,Rajasthan,Northern,5500.65,5274.37,226.28,4.114,11459.68,10825.26,634.42,24,4.06
2016-09-01,Rajasthan,Northern,5587.31,5372.15,215.16,3.851,11640.23,11006.02,634.21,24,4.48
2016-10-01,Rajasthan,Northern,6352.15,6136.95,215.2,3.388,13233.65,12619.34,614.32,25,4.36
2016-11-01,Rajasthan,Northern,6708.98,6420.77,288.21,4.296,13977.04,13097.25,879.79,24,3.5
2016-12-01,Rajasthan,Northern,7007.65,6733.31,274.34,3.915,14599.27,13779.59,819.69,26,3.85
2017-01-01,Rajasthan,Northern,6211.58,6091.4,120.18,1.935,12940.79,12585.0,355.79,19,4.22
2017-02-01,Rajasthan,Northern,5916.29,5755.34,160.95,2.72,12325.61,11863.43,462.18,22,3.52
2017-03-01,Rajasthan,Northern,6003.13,5826.31,176.82,2.946,12506.53,11954.93,551.6,20,4.48
2017-04-01,Rajasthan,Northern,7956.45,7581.86,374.59,4.708,16575.93,15586.4,989.53,33,4.95
2017-05-01,Rajasthan,Northern,8028.45,7451.78,576.67,7.183,16725.93,15049.68,1676.25,41,6.3
2017-06-01,Rajasthan,Northern,7998.04,7599.47,398.57,4.983,16662.58,15622.49,1040.09,35,5.5
2017-07-01,Rajasthan,Northern,7845.0,7274.13,570.86,7.277,16343.74,14632.78,1710.96,41,6.07
2017-08-01,Rajasthan,Northern,5894.82,5714.23,180.58,3.063,12280.87,11814.99,465.88,23,4.05
2017-09-01,Rajasthan,Northern,5641.56,5540.96,100.6,1.783,11753.25,11442.83,310.42,19,4.39
2017-10-01,Rajasthan,Northern,7424.44,7213.89,210.55,2.836,15467.59,14891.13,576.46,24,4.15
2017-11-01,Rajasthan,Northern,6920.48,6760.61,159.87,2.31,14417.66,13920.51,497.15,23,4.9
2017-12-01,Rajasthan,Northern,6804.11,6633.98,170.13,2.5,14175.24,13710.83,464.41,19,4.05
2018-01-01,Rajasthan,Northern,5870.06,5694.89,175.17,2.984,12229.29,11744.02,485.27,22,3.6
2018-02-01,Rajasthan,Northern,6264.18,6115.51,148.67,2.373,13050.37,12673.29,377.08,20,4.95
2018-03-01,Rajasthan,Northern,6371.76,6265.72,106.04,1.664,13274.51,12989.3,285.21,18,4.28
2018-04-01,Rajasthan,Northern,8637.87,8147.91,489.96,5.672,17995.57,16609.27,1386.29,36,4.72
2018-05-01,Rajasthan,Northern,8205.73,7838.11,367.62,4.48,17095.27,15986.08,1109.2,33,5.17
2018-06-01,Rajasthan,Northern,7517.1,7198.31,318.79,4.241,15660.63,14757.0,903.63,32,5.66
2018-07-01,Rajasthan,Northern,8052.31,7717.04,335.26,4.164,16775.64,15822.65,952.98,32,4.86
2018-08-01,Rajasthan,Northern,5987.13,5876.15,110.98,1.854,12473.18,12168.37,304.81,24,3.98
2018-09-01,Rajasthan,Northern,5933.8,5773.72,160.08,2.698,12362.09,11895.92,466.17,22,3.6
2018-10-01,Rajasthan,Northern,7333.88,7172.6,161.28,2.199,15278.91,14867.16,411.75,19,4.25
2018-11-01,Rajasthan,Northern,6770.7,6650.41,120.29,1.777,14105.63,13746.67,358.97,18,4.34
2018-12-01,Rajasthan,Northern,7256.05,7100.31,155.73,2.146,15116.76,14690.26,426.5,18,4.86
2019-01-01,Rajasthan,Northern,6526.59,6383.04,143.55,2.199,13597.06,13234.42,362.63,24,3.77
2019-02-01,Rajasthan,Northern,6296.87,6168.12,128.75,2.045,13118.48,12761.84,356.64,21,3.56
2019-03-01,Rajasthan,Northern,6191.03,6077.33,113.7,1.836,12897.98,12555.75,342.23,23,4.64
2019-04-01,Rajasthan,Northern,8921.71,8614.85,306.86,3.439,18586.9,17639.98,946.92,29,5.48
2019-05-01,Rajasthan,Northern,8360.04,7978.61,381.43,4.563,17416.75,16412.28,1004.47,37,6.37
2019-06-01,Rajasthan,Northern,9138.89,8757.82,381.07,4.17,19039.36,17976.75,1062.61,30,5.7
2019-07-01,Rajasthan,Northern,8373.88,8000.11,373.78,4.464,17445.59,16463.48,982.1,34,6.06
2019-08-01,Rajasthan,Northern,6333.4,6264.97,68.43,1.08,13194.58,12982.54,212.04,17,4.52
2019-09-01,Rajasthan,Northern,6132.59,6047.21,85.38,1.392,12776.23,12515.48,260.75,19,3.44
2019-10-01,Rajasthan,Northern,7818.37,7721.69,96.68,1.237,16288.28,16007.76,280.51,16,5.48
2019-11-01,Rajasthan,Northern,7782.51,7600.54,181.97,2.338,16213.57,15667.08,546.49,21,4.11
2019-12-01,Rajasthan,Northern,7607.21,7452.56,154.65,2.033,15848.36,15419.19,429.17,18,4.94
2020-01-01,Rajasthan,Northern,6577.68,6480.16,97.52,1.483,13703.49,13414.87,288.62,22,4.77
2020-02-01,Rajasthan,Northern,6514.09,6440.98,73.11,1.122,13571.01,13371.69,199.32,16,4.37
2020-03-01,Rajasthan,Northern,6222.07,6117.08,104.99,1.687,12962.65,12680.57,282.09,21,4.1
2020-04-01,Rajasthan,Northern,9180.7,8936.75,243.95,2.657,19126.45,18440.88,685.57,30,5.27
2020-05-01,Rajasthan,Northern,9202.02,8893.78,308.24,3.35,19170.88,18215.98,954.9,29,4.97
2020-06-01,Rajasthan,Northern,8645.73,8324.9,320.83,3.711,18011.93,17057.59,954.34,31,5.0
2020-07-01,Rajasthan,Northern,8728.02,8445.31,282.71,3.239,18183.37,17317.6,865.77,28,5.58
2020-08-01,Rajasthan,Northern,6691.1,6573.84,117.26,1.752,13939.78,13627.57,312.21,20,3.9
2020-09-01,Rajasthan,Northern,6740.39,6638.18,102.21,1.516,14042.49,13764.62,277.86,17,3.83
2020-10-01,Rajasthan,Northern,7925.62,7831.69,93.93,1.185,16511.71,16226.38,285.33,16,4.23
2020-11-01,Rajasthan,Northern,7839.32,7726.83,112.48,1.435,16331.91,16016.63,315.28,20,5.08
2020-12-01,Rajasthan,Northern,7718.7,7601.63,117.07,1.517,16080.63,15754.35,326.28,17,4.23
2021-01-01,Rajasthan,Northern,6601.02,6542.04,58.98,0.893,13752.13,13576.79,175.34,19,4.36
2021-02-01,Rajasthan,Northern,7120.76,7061.12,59.65,0.838,14834.92,14651.91,183.01,16,3.83
2021-03-01,Rajasthan,Northern,6984.89,6868.14,116.74,1.671,14551.84,14189.61,362.23,18,4.38
2021-04-01,Rajasthan,Northern,9732.2,9416.24,315.96,3.247,20275.42,19380.25,895.17,31,5.36
2021-05-01,Rajasthan,Northern,9792.69,9457.32,335.37,3.425,20401.44,19533.51,867.92,30,5.61
2021-06-01,Rajasthan,Northern,9103.2,8894.73,208.46,2.29,18964.99,18328.86,636.13,33,5.56
2021-07-01,Rajasthan,Northern,9710.4,9532.82,177.57,1.829,20230.0,19723.93,506.06,28,5.06
2021-08-01,Rajasthan,Northern,7262.37,7124.64,137.73,1.897,15129.95,14758.55,371.39,21,4.38
2021-09-01,Rajasthan,Northern,7047.89,6967.87,80.02,1.135,14683.1,14441.74,241.36,16,4.0
2021-10-01,Rajasthan,Northern,8003.81,7869.73,134.07,1.675,16674.59,16309.88,364.71,20,4.96
2021-11-01,Rajasthan,Northern,8396.68,8350.81,45.87,0.546,17493.07,17373.39,119.68,16,4.89
2021-12-01,Rajasthan,Northern,8274.3,8163.46,110.84,1.34,17238.12,16896.03,342.1,22,3.54
2022-01-01,Rajasthan,Northern,6690.58,6662.27,28.31,0.423,13938.71,13858.27,80.45,15,3.93
2022-02-01,Rajasthan,Northern,7387.9,7288.46,99.44,1.346,15391.46,15124.7,266.77,18,3.98
2022-03-01,Rajasthan,Northern,7465.0,7359.42,105.58,1.414,15552.09,15269.56,282.53,19,4.09
2022-04-01,Rajasthan,Northern,9181.5,8972.09,209.41,2.281,19128.12,18565.69,562.43,28,4.65
2022-05-01,Rajasthan,Northern,10344.39,10090.8,253.59,2.451,21550.81,20775.41,775.4,27,5.83
2022-06-01,Rajasthan,Northern,9172.24,8993.4,178.84,1.95,19108.83,18568.8,540.03,27,5.48
2022-07-01,Rajasthan,Northern,10418.1,10141.43,276.67,2.656,21704.38,20913.83,790.55,30,5.72
2022-08-01,Rajasthan,Northern,7685.81,7579.91,105.91,1.378,16012.11,15708.18,303.93,18,4.86
2022-09-01,Rajasthan,Northern,7374.7,7293.82,80.88,1.097,15363.96,15131.39,232.57,18,3.83
2022-10-01,Rajasthan,Northern,8311.83,8264.84,46.98,0.565,17316.3,17170.31,145.99,15,3.85
2022-11-01,Rajasthan,Northern,8451.49,8389.78,61.72,0.73,17607.28,17452.77,154.51,14,4.05
2022-12-01,Rajasthan,Northern,8591.42,8557.36,34.06,0.396,17898.8,17793.81,104.99,14,4.26
2023-01-01,Rajasthan,Northern,7569.4,7531.38,38.03,0.502,15769.59,15653.74,115.84,16,3.85
2023-02-01,Rajasthan,Northern,7263.13,7206.29,56.83,0.783,15131.52,14967.83,163.68,18,4.45
2023-03-01,Rajasthan,Northern,7641.21,7593.15,48.06,0.629,15919.18,15795.6,123.58,17,4.96
2023-04-01,Rajasthan,Northern,9626.08,9488.03,138.06,1.434,20054.33,19651.51,402.83,27,5.38
2023-05-01,Rajasthan,Northern,10417.1,10185.09,232.01,2.227,21702.3,21017.3,685.0,28,4.89
2023-06-01,Rajasthan,Northern,9623.79,9474.46,149.34,1.552,20049.57,19622.36,427.22,24,4.52
2023-07-01,Rajasthan,Northern,9514.95,9316.24,198.71,2.088,19822.81,19245.03,577.78,29,5.96
2023-08-01,Rajasthan,Northern,7384.82,7315.04,69.78,0.945,15385.04,15170.6,214.44,17,4.33
2023-09-01,Rajasthan,Northern,7718.25,7639.08,79.17,1.026,16079.69,15873.52,206.17,18,4.86
2023-10-01,Rajasthan,Northern,8906.19,8900.78,5.41,0.061,18554.56,18538.76,15.81,14,3.8
2023-11-01,Rajasthan,Northern,9397.87,9355.13,42.74,0.455,19578.9,19459.07,119.84,13,4.47
2023-12-01,Rajasthan,Northern,8768.59,8722.46,46.13,0.526,18267.89,18147.95,119.93,13,4.01
2024-01-01,Rajasthan,Northern,7832.45,7784.44,48.01,0.613,16317.61,16194.1,123.5,20,4.15
2024-02-01,Rajasthan,Northern,7780.28,7766.2,14.08,0.181,16208.92,16168.85,40.07,16,4.27
2024-03-01,Rajasthan,Northern,7465.46,7429.53,35.93,0.481,15553.04,15450.69,102.35,15,5.24
2024-04-01,Rajasthan,Northern,10527.4,10360.24,167.16,1.588,21932.08,21449.33,482.74,26,6.44
2024-05-01,Rajasthan,Northern,10437.37,10256.03,181.33,1.737,21744.51,21188.11,556.41,27,5.28
2024-06-01,Rajasthan,Northern,11069.57,10944.61,124.96,1.129,23061.61,22672.6,389.01,27,4.87
2024-07-01,Rajasthan,Northern,10193.62,10015.31,178.31,1.749,21236.72,20736.07,500.65,32,6.04
2024-08-01,Rajasthan,Northern,8143.39,8110.08,33.31,0.409,16965.4,16871.5,93.9,15,4.7
2024-09-01,Rajasthan,Northern,7940.87,7866.47,74.39,0.937,16543.47,16351.24,192.23,17,4.68
